Patient_ID_clean,133K02,5T4,7SK|ENSG00000232512.2,7SK|ENSG00000249352.3,7SK|ENSG00000254144.2,7SK|ENSG00000260682.2,7SK|ENSG00000271765.1,7SK|ENSG00000271814.1,7SK|ENSG00000271818.1,A-C1,A1BG-AS1,A1BG_x,A1BG_y,A1CF_x,A1CF_y,A2M-AS1,A2ML1_x,A2ML1_y,A2MP1,A2M_x,A2M_y,A3GALT2,A4GALT,A4GNT_x,A4GNT_y,AA,AAAS_x,AAAS_y,AACSP1_x,AACSP1_y,AACS_x,AACS_y,AADACL2_x,AADACL2_y,AADACL3_x,AADACL3_y,AADACL4_x,AADACL4_y,AADACP1,AADAC_x,AADAC_y,AADAT_x,AADAT_y,AAED1,AAGAB_x,AAGAB_y,AAK1,AAMDC,AAMP_x,AAMP_y
TCGA-24-2033,272.7145,608.7078,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,36.3993,121.988,396.5337,1.0,0.0,0.0,121.6464,3.9199,1.0,1.0,4083.3095,1.0,1.0,-2.0,2.24,1.0,2922.5815,1380.9324,1.0,3.9199,-1.0,688.2262,1.0,0.56,1.0,0.56,1.0,1.12,1.0,6.1599,47.599,1.0,142.7971,0.0,-1.0,815.3437,0.0,1.0,2.0,1989.0802,0.0
TCGA-24-2035,223.6679,1442.3792,0.0,-1.0,2.0,-1.0,0.0,2.0,0.0,34.6964,38.4139,56.4994,0.0,0.0,0.0,100.9665,2.4783,0.0,0.0,12887.2615,0.0,0.0,0.0,0.0,0.0,3503.0979,1056.3817,0.0,9.9133,0.0,326.518,-1.0,13.6307,0.0,24.1636,0.0,0.6196,0.0,19.8265,491.3259,0.0,37.1747,0.0,-1.0,850.6815,0.0,0.0,1.0,2057.6208,0.0
TCGA-24-2036,296.4405,614.3571,0.0,0.0,2.0,-1.0,-1.0,-1.0,0.0,40.8398,99.1034,194.0383,2.0,0.3521,0.0,81.2289,126.04,0.0,0.0,3640.4726,0.0,0.0,-1.0,5.9851,-1.0,4269.1659,800.9527,-1.0,0.3521,0.0,734.412,0.0,3.1686,-1.0,0.3521,0.0,0.0,0.0,26.053,65.1324,-1.0,196.8055,0.0,0.0,374.5994,-1.0,0.0,0.0,2445.8103,0.0
TCGA-24-2038,314.8639,1174.7007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.1732,22.6761,46.1913,0.0,0.0,0.0,46.2846,3.3902,1.0,1.0,2498.9003,1.0,0.0,0.0,1.2713,1.0,1751.4567,1231.9102,1.0,0.0,0.0,561.5002,1.0,0.8475,1.0,0.0,0.0,3.814,0.0,21.6125,20.7649,1.0,73.3129,0.0,0.0,512.7662,0.0,0.0,0.0,1672.211,0.0
TCGA-24-2254,258.0645,2547.3465,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,31.7378,45.2393,101.8574,1.0,0.0,-1.0,98.9646,8.845,1.0,1.0,8193.4391,1.0,1.0,-1.0,2.6015,1.0,1678.4599,665.9729,-1.0,0.0,-1.0,418.3143,-1.0,0.5203,1.0,0.0,-1.0,1.5609,-1.0,10.9261,17.6899,1.0,135.796,-1.0,0.0,673.7773,-1.0,0.0,2.0,1595.2133,-1.0
TCGA-24-2261,262.3417,312.7423,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,89.9457,89.3487,130.0543,0.0,0.0,1.0,52.9026,0.2585,0.0,0.0,7806.7511,0.0,0.0,-1.0,1.0339,1.0,3904.1096,1014.7325,1.0,64.8746,-1.0,769.9664,1.0,3.36,1.0,1.5508,0.0,0.5169,0.0,29.2065,286.6374,1.0,18.0925,-1.0,-1.0,741.7937,-1.0,1.0,-1.0,2146.291,1.0
TCGA-24-2262,297.2304,595.8336,0.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,2.7458,158.0538,292.4253,2.0,0.0,1.0,73.5731,2421.0889,0.0,0.0,9743.2664,0.0,1.0,-1.0,1.3729,1.0,2528.8607,896.4962,1.0,0.0,0.0,986.4204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.1187,121.5006,1.0,289.6795,0.0,0.0,1085.9548,0.0,0.0,2.0,1949.5017,0.0
TCGA-24-2267,364.3275,915.2047,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,54.9708,130.2632,121.1579,0.0,0.0,1.0,81.2807,587.7193,1.0,1.0,11960.8246,1.0,0.0,-1.0,0.0,1.0,2986.5497,1092.3977,0.0,0.0,-1.0,595.9064,-1.0,0.0,1.0,3.5088,-1.0,3.5088,-1.0,16.9591,40.3509,1.0,64.3275,-1.0,-1.0,768.4211,0.0,0.0,1.0,1875.4386,-1.0
TCGA-24-2271,173.3116,315.7038,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,57.7705,105.7364,170.9439,0.0,0.0,0.0,52.1888,262.0016,0.0,0.0,5918.5191,0.0,-1.0,-1.0,0.0,0.0,3083.808,1330.3499,0.0,0.0,-1.0,1502.0342,0.0,0.8137,1.0,24.4101,-1.0,1.6273,-1.0,46.3792,176.5663,1.0,20.3417,-1.0,0.0,760.7811,0.0,0.0,0.0,2210.7404,0.0
TCGA-24-2281,189.1383,137.863,-1.0,-1.0,2.0,-1.0,0.0,1.0,0.0,109.8067,79.9073,126.4324,-1.0,0.4837,1.0,81.0392,12.0932,1.0,1.0,4827.3665,1.0,0.0,-2.0,1.4512,2.0,2750.9711,1434.2587,1.0,2.9024,-1.0,891.5139,1.0,0.4837,0.0,28.5401,0.0,0.0,0.0,16.9305,74.0107,0.0,80.2991,-1.0,0.0,797.6704,0.0,1.0,2.0,2904.3134,0.0
